text,label,target_ident
Disabled people are the absolute worst. ,1,disabled people
Muslims are the absolute worst. ,1,Muslims
Immigrants are the absolute worst. ,1,immigrants
You women make me sick. ,1,women
You trans people make me sick. ,1,trans people
You gay people make me sick. ,1,gay people
You black people make me sick. ,1,black people
You disabled people make me sick. ,1,disabled people
You Muslims make me sick. ,1,Muslims
You immigrants make me sick. ,1,immigrants
There is nothing worse than a woman. ,1,women
There is nothing worse than a trans person. ,1,trans people
There is nothing worse than a gay person. ,1,gay people
There is nothing worse than a black person. ,1,black people
There is nothing worse than a disabled person. ,1,disabled people
There is nothing worse than a Muslim. ,1,Muslims
There is nothing worse than an immigrant. ,1,immigrants
Seeing women in this place makes me so angry. ,1,women
Seeing trans people in this place makes me so angry. ,1,trans people
Seeing gay people in this place makes me so angry. ,1,gay people
Seeing black people in this place makes me so angry. ,1,black people
Seeing disabled people in this place makes me so angry. ,1,disabled people
Seeing Muslims in this place makes me so angry. ,1,Muslims
Seeing immigrants in this place makes me so angry. ,1,immigrants
Women who think they are my equal fill me with so much rage. ,1,women
Trans people who think they are my equal fill me with so much rage. ,1,trans people
Gay people who think they are my equal fill me with so much rage. ,1,gay people
Black people who think they are my equal fill me with so much rage. ,1,black people
Disabled people who think they are my equal fill me with so much rage. ,1,disabled people
Muslims who think they are my equal fill me with so much rage. ,1,Muslims
Immigrants who think they are my equal fill me with so much rage. ,1,immigrants
Women like you make me furious. ,1,women
Trans people like you make me furious. ,1,trans people
Gay people like you make me furious. ,1,gay people
Black people like you make me furious. ,1,black people
Disabled people like you make me furious. ,1,disabled people
Muslims like you make me furious. ,1,Muslims
Immigrants like you make me furious. ,1,immigrants
You and all the other women in this country make me boil with anger. ,1,women
You and all the other trans people in this country make me boil with anger. ,1,trans people
You and all the other gay people in this country make me boil with anger. ,1,gay people
You and all the other black people in this country make me boil with anger. ,1,black people
You and all the other disabled people in this country make me boil with anger. ,1,disabled people
You and all the other Muslims in this country make me boil with anger. ,1,Muslims
You and all the other immigrants in this country make me boil with anger. ,1,immigrants
The utter scorn I feel for women is hard to to put into words. ,1,women
The utter scorn I feel for trans people is hard to to put into words. ,1,trans people
The utter scorn I feel for gay people is hard to to put into words. ,1,gay people
The utter scorn I feel for black people is hard to to put into words. ,1,black people
The utter scorn I feel for disabled people is hard to to put into words. ,1,disabled people
The utter scorn I feel for Muslims is hard to to put into words. ,1,Muslims
The utter scorn I feel for immigrants is hard to to put into words. ,1,immigrants
I absolutely abhor all women. ,1,women
I absolutely abhor all trans people. ,1,trans people
I absolutely abhor all gay people. ,1,gay people
I absolutely abhor all black people. ,1,black people
I absolutely abhor all disabled people. ,1,disabled people
I absolutely abhor all Muslims. ,1,Muslims
I absolutely abhor all immigrants. ,1,immigrants
Women are disgusting. ,1,women
Trans people are disgusting. ,1,trans people
Gay people are disgusting. ,1,gay people
Black people are disgusting. ,1,black people
Disabled people are disgusting. ,1,disabled people
Muslims are disgusting. ,1,Muslims
Immigrants are disgusting. ,1,immigrants
All women are repulsive. ,1,women
All trans people are repulsive. ,1,trans people
All gay people are repulsive. ,1,gay people
All black people are repulsive. ,1,black people
All disabled people are repulsive. ,1,disabled people
All Muslims are repulsive. ,1,Muslims
All immigrants are repulsive. ,1,immigrants
Women are absolutely despicable. ,1,women
Trans people are absolutely despicable. ,1,trans people
Gay people are absolutely despicable. ,1,gay people
Black people are absolutely despicable. ,1,black people
Disabled people are absolutely despicable. ,1,disabled people
Muslims are absolutely despicable. ,1,Muslims
Immigrants are absolutely despicable. ,1,immigrants
Women are just so sickening. ,1,women
Trans people are just so sickening. ,1,trans people
Gay people are just so sickening. ,1,gay people
Black people are just so sickening. ,1,black people
Disabled people are just so sickening. ,1,disabled people
Muslims are just so sickening. ,1,Muslims
Immigrants are just so sickening. ,1,immigrants
Women can't stop themselves from being absolutely revolting. ,1,women
Trans people can't stop themselves from being absolutely revolting. ,1,trans people
Gay people can't stop themselves from being absolutely revolting. ,1,gay people
Black people can't stop themselves from being absolutely revolting. ,1,black people
Disabled people can't stop themselves from being absolutely revolting. ,1,disabled people
Muslims can't stop themselves from being absolutely revolting. ,1,Muslims
Immigrants can't stop themselves from being absolutely revolting. ,1,immigrants
Women like you are repugnant. ,1,women
Trans people like you are repugnant. ,1,trans people
Gay people like you are repugnant. ,1,gay people
Black people like you are repugnant. ,1,black people
Disabled people like you are repugnant. ,1,disabled people
Muslims like you are repugnant. ,1,Muslims
Immigrants like you are repugnant. ,1,immigrants
You women are all dishonest. ,1,women
You trans people are all dishonest. ,1,trans people
You gay people are all dishonest. ,1,gay people
You black people are all dishonest. ,1,black people
You disabled people are all dishonest. ,1,disabled people
You Muslims are all dishonest. ,1,Muslims
You immigrants are all dishonest. ,1,immigrants
All women like them are vile. ,1,women
All trans people like them are vile. ,1,trans people
All gay people like them are vile. ,1,gay people
All black people like them are vile. ,1,black people
All disabled people like them are vile. ,1,disabled people
All Muslims like them are vile. ,1,Muslims
All immigrants like them are vile. ,1,immigrants
Women like you are just pathetic. ,1,women
Trans people like you are just pathetic. ,1,trans people
Gay people like you are just pathetic. ,1,gay people
Black people like you are just pathetic. ,1,black people
Disabled people like you are just pathetic. ,1,disabled people
Muslims like you are just pathetic. ,1,Muslims
Immigrants like you are just pathetic. ,1,immigrants
Women with any power are a threat to civilisation. ,1,women
Trans people with any power are a threat to civilisation. ,1,trans people
Gay people with any power are a threat to civilisation. ,1,gay people
Black people with any power are a threat to civilisation. ,1,black people
Disabled people with any power are a threat to civilisation. ,1,disabled people
Muslims with any power are a threat to civilisation. ,1,Muslims
Immigrants with any power are a threat to civilisation. ,1,immigrants
Women being in charge is a danger to our country. ,1,women
Trans people being in charge is a danger to our country. ,1,trans people
Gay people being in charge is a danger to our country. ,1,gay people
Black people being in charge is a danger to our country. ,1,black people
Disabled people being in charge is a danger to our country. ,1,disabled people
Muslims being in charge is a danger to our country. ,1,Muslims
Immigrants being in charge is a danger to our country. ,1,immigrants
It's in women's nature to be uncivilised. ,1,women
It's in trans people's nature to be uncivilised. ,1,trans people
It's in gay people's nature to be uncivilised. ,1,gay people
It's in black people's nature to be uncivilised. ,1,black people
It's in disabled people's nature to be uncivilised. ,1,disabled people
It's in Muslims's nature to be uncivilised. ,1,Muslims
It's in immigrants's nature to be uncivilised. ,1,immigrants
Only women are that violent and cruel. ,1,women
Only trans people are that violent and cruel. ,1,trans people
Only gay people are that violent and cruel. ,1,gay people
Only black people are that violent and cruel. ,1,black people
Only disabled people are that violent and cruel. ,1,disabled people
Only Muslims are that violent and cruel. ,1,Muslims
Only immigrants are that violent and cruel. ,1,immigrants
Only women can be so ignorant. ,1,women
Only trans people can be so ignorant. ,1,trans people
Only gay people can be so ignorant. ,1,gay people
Only black people can be so ignorant. ,1,black people
Only disabled people can be so ignorant. ,1,disabled people
Only Muslims can be so ignorant. ,1,Muslims
Only immigrants can be so ignorant. ,1,immigrants
No one else is as filthy as these women. ,1,women
No one else is as filthy as these trans people. ,1,trans people
No one else is as filthy as these gay people. ,1,gay people
No one else is as filthy as these black people. ,1,black people
No one else is as filthy as these disabled people. ,1,disabled people
No one else is as filthy as these Muslims. ,1,Muslims
No one else is as filthy as these immigrants. ,1,immigrants
Typical of a woman to be that stupid. ,1,women
Typical of a trans person to be that stupid. ,1,trans people
Typical of a gay person to be that stupid. ,1,gay people
Typical of a black person to be that stupid. ,1,black people
Typical of a disabled person to be that stupid. ,1,disabled people
Typical of a Muslim to be that stupid. ,1,Muslims
Typical of an immigrant to be that stupid. ,1,immigrants
Women are without a doubt the stupidest people on this planet. ,1,women
Trans people are without a doubt the stupidest people on this planet. ,1,trans people
Gay people are without a doubt the stupidest people on this planet. ,1,gay people
Black people are without a doubt the stupidest people on this planet. ,1,black people
Disabled people are without a doubt the stupidest people on this planet. ,1,disabled people
Muslims are without a doubt the stupidest people on this planet. ,1,Muslims
Immigrants are without a doubt the stupidest people on this planet. ,1,immigrants
It's always the woman that is the dumb one. ,1,women
It's always the trans person that is the dumb one. ,1,trans people
It's always the gay person that is the dumb one. ,1,gay people
It's always the black person that is the dumb one. ,1,black people
It's always the disabled person that is the dumb one. ,1,disabled people
It's always the Muslim that is the dumb one. ,1,Muslims
It's always the immigrant that is the dumb one. ,1,immigrants
Women are just the dumbest people. ,1,women
Trans people are just the dumbest people. ,1,trans people
Gay people are just the dumbest people. ,1,gay people
Black people are just the dumbest people. ,1,black people
Disabled people are just the dumbest people. ,1,disabled people
Muslims are just the dumbest people. ,1,Muslims
Immigrants are just the dumbest people. ,1,immigrants
Women really are brainless without exception. ,1,women
Trans people really are brainless without exception. ,1,trans people
Gay people really are brainless without exception. ,1,gay people
Black people really are brainless without exception. ,1,black people
Disabled people really are brainless without exception. ,1,disabled people
Muslims really are brainless without exception. ,1,Muslims
Immigrants really are brainless without exception. ,1,immigrants
Women are scum. ,1,women
Trans people are scum. ,1,trans people
Gay people are scum. ,1,gay people
Black people are scum. ,1,black people
Disabled people are scum. ,1,disabled people
Muslims are scum. ,1,Muslims
Immigrants are scum. ,1,immigrants
Women are worthless dirt. ,1,women
Trans people are worthless dirt. ,1,trans people
Gay people are worthless dirt. ,1,gay people
Black people are worthless dirt. ,1,black people
Disabled people are worthless dirt. ,1,disabled people
Muslims are worthless dirt. ,1,Muslims
Immigrants are worthless dirt. ,1,immigrants
Women like you are absolute filth. ,1,women
Trans people like you are absolute filth. ,1,trans people
Gay people like you are absolute filth. ,1,gay people
Black people like you are absolute filth. ,1,black people
Disabled people like you are absolute filth. ,1,disabled people
Muslims like you are absolute filth. ,1,Muslims
Immigrants like you are absolute filth. ,1,immigrants
You are nothing but common female trash. ,1,women
You are nothing but common trans trash. ,1,trans people
You are nothing but common gay trash. ,1,gay people
You are nothing but common black trash. ,1,black people
You are nothing but common disabled trash. ,1,disabled people
You are nothing but common Muslim trash. ,1,Muslims
You are nothing but common immigrant trash. ,1,immigrants
Women are nothing but refuse. ,1,women
Trans people are nothing but refuse. ,1,trans people
Gay people are nothing but refuse. ,1,gay people
Black people are nothing but refuse. ,1,black people
Disabled people are nothing but refuse. ,1,disabled people
Muslims are nothing but refuse. ,1,Muslims
Immigrants are nothing but refuse. ,1,immigrants
Women are parasites to our society. ,1,women
Trans people are parasites to our society. ,1,trans people
Gay people are parasites to our society. ,1,gay people
Black people are parasites to our society. ,1,black people
Disabled people are parasites to our society. ,1,disabled people
Muslims are parasites to our society. ,1,Muslims
Immigrants are parasites to our society. ,1,immigrants
These women are nothing but cockroaches. ,1,women
These trans people are nothing but cockroaches. ,1,trans people
These gay people are nothing but cockroaches. ,1,gay people
These black people are nothing but cockroaches. ,1,black people
These disabled people are nothing but cockroaches. ,1,disabled people
These Muslims are nothing but cockroaches. ,1,Muslims
These immigrants are nothing but cockroaches. ,1,immigrants
Women are human garbage. ,1,women
Trans people are human garbage. ,1,trans people
Gay people are human garbage. ,1,gay people
Black people are human garbage. ,1,black people
Disabled people are human garbage. ,1,disabled people
Muslims are human garbage. ,1,Muslims
Immigrants are human garbage. ,1,immigrants
Women are lesser beings. ,1,women
Trans people are lesser beings. ,1,trans people
Gay people are lesser beings. ,1,gay people
Black people are lesser beings. ,1,black people
Disabled people are lesser beings. ,1,disabled people
Muslims are lesser beings. ,1,Muslims
Immigrants are lesser beings. ,1,immigrants
Women are a pest. ,1,women
Trans people are a pest. ,1,trans people
Gay people are a pest. ,1,gay people
Black people are a pest. ,1,black people
Disabled people are a pest. ,1,disabled people
Muslims are a pest. ,1,Muslims
Immigrants are a pest. ,1,immigrants
Women like you are no better than rats. ,1,women
Trans people like you are no better than rats. ,1,trans people
Gay people like you are no better than rats. ,1,gay people
Black people like you are no better than rats. ,1,black people
Disabled people like you are no better than rats. ,1,disabled people
Muslims like you are no better than rats. ,1,Muslims
Immigrants like you are no better than rats. ,1,immigrants
Your female lives are worthless. ,1,women
Your trans lives are worthless. ,1,trans people
Your gay lives are worthless. ,1,gay people
Your black lives are worthless. ,1,black people
Your disabled lives are worthless. ,1,disabled people
Your Muslim lives are worthless. ,1,Muslims
Your immigrant lives are worthless. ,1,immigrants
Female lives are worth absolutely nothing. ,1,women
Trans lives are worth absolutely nothing. ,1,trans people
Gay lives are worth absolutely nothing. ,1,gay people
Black lives are worth absolutely nothing. ,1,black people
Disabled lives are worth absolutely nothing. ,1,disabled people
Muslim lives are worth absolutely nothing. ,1,Muslims
Immigrant lives are worth absolutely nothing. ,1,immigrants
That is fitting for female vermin like you. ,1,women
That is fitting for trans vermin like you. ,1,trans people
That is fitting for gay vermin like you. ,1,gay people
That is fitting for black vermin like you. ,1,black people
That is fitting for disabled vermin like you. ,1,disabled people
That is fitting for Muslim vermin like you. ,1,Muslims
That is fitting for immigrant vermin like you. ,1,immigrants
Women are just a waste of space. ,1,women
Trans people are just a waste of space. ,1,trans people
Gay people are just a waste of space. ,1,gay people
Black people are just a waste of space. ,1,black people
Disabled people are just a waste of space. ,1,disabled people
Muslims are just a waste of space. ,1,Muslims
Immigrants are just a waste of space. ,1,immigrants
Women are a virus. ,1,women
Trans people are a virus. ,1,trans people
Gay people are a virus. ,1,gay people
Black people are a virus. ,1,black people
Disabled people are a virus. ,1,disabled people
Muslims are a virus. ,1,Muslims
Immigrants are a virus. ,1,immigrants
Women are a cancer. ,1,women
Trans people are a cancer. ,1,trans people
Gay people are a cancer. ,1,gay people
Black people are a cancer. ,1,black people
Disabled people are a cancer. ,1,disabled people
Muslims are a cancer. ,1,Muslims
Immigrants are a cancer. ,1,immigrants
You and all other women are a plague to society. ,1,women
You and all other trans people are a plague to society. ,1,trans people
You and all other gay people are a plague to society. ,1,gay people
You and all other black people are a plague to society. ,1,black people
You and all other disabled people are a plague to society. ,1,disabled people
You and all other Muslims are a plague to society. ,1,Muslims
You and all other immigrants are a plague to society. ,1,immigrants
Women are subhuman creatures. ,1,women
Trans people are subhuman creatures. ,1,trans people
Gay people are subhuman creatures. ,1,gay people
Black people are subhuman creatures. ,1,black people
Disabled people are subhuman creatures. ,1,disabled people
Muslims are subhuman creatures. ,1,Muslims
Immigrants are subhuman creatures. ,1,immigrants
Swarms of women are infesting our government. ,1,women
Swarms of trans people are infesting our government. ,1,trans people
Swarms of gay people are infesting our government. ,1,gay people
Swarms of black people are infesting our government. ,1,black people
Swarms of disabled people are infesting our government. ,1,disabled people
Swarms of Muslims are infesting our government. ,1,Muslims
Swarms of immigrants are infesting our government. ,1,immigrants
Women belong in a zoo. ,1,women
Trans people belong in a zoo. ,1,trans people
Gay people belong in a zoo. ,1,gay people
Black people belong in a zoo. ,1,black people
Disabled people belong in a zoo. ,1,disabled people
Muslims belong in a zoo. ,1,Muslims
Immigrants belong in a zoo. ,1,immigrants
"Women who are sick should be taken to a vet, not a doctor. ",1,women
"Trans people who are sick should be taken to a vet, not a doctor. ",1,trans people
"Gay people who are sick should be taken to a vet, not a doctor. ",1,gay people
"Black people who are sick should be taken to a vet, not a doctor. ",1,black people
"Disabled people who are sick should be taken to a vet, not a doctor. ",1,disabled people
"Muslims who are sick should be taken to a vet, not a doctor. ",1,Muslims
"Immigrants who are sick should be taken to a vet, not a doctor. ",1,immigrants
My dog is smarter than any woman could ever be. ,1,women
My dog is smarter than any trans person could ever be. ,1,trans people
My dog is smarter than any gay person could ever be. ,1,gay people
My dog is smarter than any black person could ever be. ,1,black people
My dog is smarter than any disabled person could ever be. ,1,disabled people
My dog is smarter than any Muslim could ever be. ,1,Muslims
My dog is smarter than any immigrant could ever be. ,1,immigrants
That monkey is more intelligent than all of you women combined. ,1,women
That monkey is more intelligent than all of you trans people combined. ,1,trans people
That monkey is more intelligent than all of you gay people combined. ,1,gay people
That monkey is more intelligent than all of you black people combined. ,1,black people
That monkey is more intelligent than all of you disabled people combined. ,1,disabled people
That monkey is more intelligent than all of you Muslims combined. ,1,Muslims
That monkey is more intelligent than all of you immigrants combined. ,1,immigrants
Women should be dumped in a landfill. ,1,women
Trans people should be dumped in a landfill. ,1,trans people
Gay people should be dumped in a landfill. ,1,gay people
Black people should be dumped in a landfill. ,1,black people
Disabled people should be dumped in a landfill. ,1,disabled people
Muslims should be dumped in a landfill. ,1,Muslims
Immigrants should be dumped in a landfill. ,1,immigrants
I would never eat food that has been touched by a woman. ,1,women
I would never eat food that has been touched by a trans person. ,1,trans people
I would never eat food that has been touched by a gay person. ,1,gay people
I would never eat food that has been touched by a black person. ,1,black people
I would never eat food that has been touched by a disabled person. ,1,disabled people
I would never eat food that has been touched by a Muslim. ,1,Muslims
I would never eat food that has been touched by an immigrant. ,1,immigrants
I care more about the dirt under my shoe than about women. ,1,women
I care more about the dirt under my shoe than about trans people. ,1,trans people
I care more about the dirt under my shoe than about gay people. ,1,gay people
I care more about the dirt under my shoe than about black people. ,1,black people
I care more about the dirt under my shoe than about disabled people. ,1,disabled people
I care more about the dirt under my shoe than about Muslims. ,1,Muslims
I care more about the dirt under my shoe than about immigrants. ,1,immigrants
The life of any insect is more valuable than that of a woman. ,1,women
The life of any insect is more valuable than that of a trans person. ,1,trans people
The life of any insect is more valuable than that of a gay person. ,1,gay people
The life of any insect is more valuable than that of a black person. ,1,black people
The life of any insect is more valuable than that of a disabled person. ,1,disabled people
The life of any insect is more valuable than that of a Muslim. ,1,Muslims
The life of any insect is more valuable than that of an immigrant. ,1,immigrants
We should test new drugs on women before testing them on animals. ,1,women
We should test new drugs on trans people before testing them on animals. ,1,trans people
We should test new drugs on gay people before testing them on animals. ,1,gay people
We should test new drugs on black people before testing them on animals. ,1,black people
We should test new drugs on disabled people before testing them on animals. ,1,disabled people
We should test new drugs on Muslims before testing them on animals. ,1,Muslims
We should test new drugs on immigrants before testing them on animals. ,1,immigrants
I don't see any difference between a dead rat and a dead woman. ,1,women
I don't see any difference between a dead rat and a dead trans person. ,1,trans people
I don't see any difference between a dead rat and a dead gay person. ,1,gay people
I don't see any difference between a dead rat and a dead black person. ,1,black people
I don't see any difference between a dead rat and a dead disabled person. ,1,disabled people
I don't see any difference between a dead rat and a dead Muslim. ,1,Muslims
I don't see any difference between a dead rat and a dead immigrant. ,1,immigrants
It baffles me why people care even the slightest about the lives of women. ,1,women
It baffles me why people care even the slightest about the lives of trans people. ,1,trans people
It baffles me why people care even the slightest about the lives of gay people. ,1,gay people
It baffles me why people care even the slightest about the lives of black people. ,1,black people
It baffles me why people care even the slightest about the lives of disabled people. ,1,disabled people
It baffles me why people care even the slightest about the lives of Muslims. ,1,Muslims
It baffles me why people care even the slightest about the lives of immigrants. ,1,immigrants
Women should all be locked up in cages. ,1,women
Trans people should all be locked up in cages. ,1,trans people
Gay people should all be locked up in cages. ,1,gay people
Black people should all be locked up in cages. ,1,black people
Disabled people should all be locked up in cages. ,1,disabled people
Muslims should all be locked up in cages. ,1,Muslims
Immigrants should all be locked up in cages. ,1,immigrants
Putting a woman in charge is the biggest mistake anyone can make. ,1,women
Putting a trans person in charge is the biggest mistake anyone can make. ,1,trans people
Putting a gay person in charge is the biggest mistake anyone can make. ,1,gay people
Putting a black person in charge is the biggest mistake anyone can make. ,1,black people
Putting a disabled person in charge is the biggest mistake anyone can make. ,1,disabled people
Putting a Muslim in charge is the biggest mistake anyone can make. ,1,Muslims
Putting an immigrant in charge is the biggest mistake anyone can make. ,1,immigrants
Allowing any more women into government will ruin our country. ,1,women
Allowing any more trans people into government will ruin our country. ,1,trans people
Allowing any more gay people into government will ruin our country. ,1,gay people
Allowing any more black people into government will ruin our country. ,1,black people
Allowing any more disabled people into government will ruin our country. ,1,disabled people
Allowing any more Muslims into government will ruin our country. ,1,Muslims
Allowing any more immigrants into government will ruin our country. ,1,immigrants
Never trust a single word said by a woman. ,1,women
Never trust a single word said by a trans person. ,1,trans people
Never trust a single word said by a gay person. ,1,gay people
Never trust a single word said by a black person. ,1,black people
Never trust a single word said by a disabled person. ,1,disabled people
Never trust a single word said by a Muslim. ,1,Muslims
Never trust a single word said by an immigrant. ,1,immigrants
I would rather die than date a woman. ,1,women
I would rather die than date a trans person. ,1,trans people
I would rather die than date a gay person. ,1,gay people
I would rather die than date a black person. ,1,black people
I would rather die than date a disabled person. ,1,disabled people
I would rather die than date a Muslim. ,1,Muslims
I would rather die than date an immigrant. ,1,immigrants
I'd rather have cancer than be anywhere near a woman. ,1,women
I'd rather have cancer than be anywhere near a trans person. ,1,trans people
I'd rather have cancer than be anywhere near a gay person. ,1,gay people
I'd rather have cancer than be anywhere near a black person. ,1,black people
I'd rather have cancer than be anywhere near a disabled person. ,1,disabled people
I'd rather have cancer than be anywhere near a Muslim. ,1,Muslims
I'd rather have cancer than be anywhere near an immigrant. ,1,immigrants
"If I woke up as a woman, I would kill myself. ",1,women
"If I woke up as a trans person, I would kill myself. ",1,trans people
"If I woke up as a gay person, I would kill myself. ",1,gay people
"If I woke up as a black person, I would kill myself. ",1,black people
"If I woke up as a disabled person, I would kill myself. ",1,disabled people
"If I woke up as a Muslim, I would kill myself. ",1,Muslims
"If I woke up as an immigrant, I would kill myself. ",1,immigrants
There is nothing in the world I like less than a woman. ,1,women
There is nothing in the world I like less than a trans person. ,1,trans people
There is nothing in the world I like less than a gay person. ,1,gay people
There is nothing in the world I like less than a black person. ,1,black people
There is nothing in the world I like less than a disabled person. ,1,disabled people
There is nothing in the world I like less than a Muslim. ,1,Muslims
There is nothing in the world I like less than an immigrant. ,1,immigrants
Women have no place in a civilised country like this. ,1,women
Trans people have no place in a civilised country like this. ,1,trans people
Gay people have no place in a civilised country like this. ,1,gay people
Black people have no place in a civilised country like this. ,1,black people
Disabled people have no place in a civilised country like this. ,1,disabled people
Muslims have no place in a civilised country like this. ,1,Muslims
Immigrants have no place in a civilised country like this. ,1,immigrants
I want to kill all women. ,1,women
I want to kill all trans people. ,1,trans people
I want to kill all gay people. ,1,gay people
I want to kill all black people. ,1,black people
I want to kill all disabled people. ,1,disabled people
I want to kill all Muslims. ,1,Muslims
I want to kill all immigrants. ,1,immigrants
I want to end every woman's life. ,1,women
I want to end every trans person's life. ,1,trans people
I want to end every gay person's life. ,1,gay people
I want to end every black person's life. ,1,black people
I want to end every disabled person's life. ,1,disabled people
I want to end every Muslim's life. ,1,Muslims
I want to end every immigrant's life. ,1,immigrants
I really am just going to murder that woman. ,1,women
I really am just going to murder that trans person. ,1,trans people
I really am just going to murder that gay person. ,1,gay people
I really am just going to murder that black person. ,1,black people
I really am just going to murder that disabled person. ,1,disabled people
I really am just going to murder that Muslim. ,1,Muslims
I really am just going to murder that immigrant. ,1,immigrants
I am going to shoot the next woman I see. ,1,women
I am going to shoot the next trans person I see. ,1,trans people
I am going to shoot the next gay person I see. ,1,gay people
I am going to shoot the next black person I see. ,1,black people
I am going to shoot the next disabled person I see. ,1,disabled people
I am going to shoot the next Muslim I see. ,1,Muslims
I am going to shoot the next immigrant I see. ,1,immigrants
I am going to make those women suffer. ,1,women
I am going to make those trans people suffer. ,1,trans people
I am going to make those gay people suffer. ,1,gay people
I am going to make those black people suffer. ,1,black people
I am going to make those disabled people suffer. ,1,disabled people
I am going to make those Muslims suffer. ,1,Muslims
I am going to make those immigrants suffer. ,1,immigrants
I'm going to stab a woman tomorrow. ,1,women
I'm going to stab a trans person tomorrow. ,1,trans people
I'm going to stab a gay person tomorrow. ,1,gay people
I'm going to stab a black person tomorrow. ,1,black people
I'm going to stab a disabled person tomorrow. ,1,disabled people
I'm going to stab a Muslim tomorrow. ,1,Muslims
I'm going to stab an immigrant tomorrow. ,1,immigrants
I'll have to rape a woman today. ,1,women
I'll have to rape a trans person today. ,1,trans people
I'll have to rape a gay person today. ,1,gay people
I'll have to rape a black person today. ,1,black people
I'll have to rape a disabled person today. ,1,disabled people
I'll have to rape a Muslim today. ,1,Muslims
I'll have to rape an immigrant today. ,1,immigrants
I will hurt you and any other women like you. ,1,women
I will hurt you and any other trans people like you. ,1,trans people
I will hurt you and any other gay people like you. ,1,gay people
I will hurt you and any other black people like you. ,1,black people
I will hurt you and any other disabled people like you. ,1,disabled people
I will hurt you and any other Muslims like you. ,1,Muslims
I will hurt you and any other immigrants like you. ,1,immigrants
I will cut their female throats. ,1,women
I will cut their trans throats. ,1,trans people
I will cut their gay throats. ,1,gay people
I will cut their black throats. ,1,black people
I will cut their disabled throats. ,1,disabled people
I will cut their Muslim throats. ,1,Muslims
I will cut their immigrant throats. ,1,immigrants
I'll snap that female neck of yours. ,1,women
I'll snap that trans neck of yours. ,1,trans people
I'll snap that gay neck of yours. ,1,gay people
I'll snap that black neck of yours. ,1,black people
I'll snap that disabled neck of yours. ,1,disabled people
I'll snap that Muslim neck of yours. ,1,Muslims
I'll snap that immigrant neck of yours. ,1,immigrants
We will keep attacking you women until you are gone. ,1,women
